keywords,answer_en,answer_ta,answer_hi,answer_ka,answer_ma,answer_te
"spinach care,spinach planting,spinach pests","Spinach prefers cool weather and regular moisture; harvest outer leaves to allow continuous regrowth, and use compost for healthy greens.",பர்கலை குளிர்ச்சியான வானிலை மற்றும் சீரான ஈரப்பதம் விரும்பும்; உட்பக்க இலைகளை அறுவடை செய்யுங்கள்.,पालक को ठंडा मौसम और नियमित नमी पसंद है; बाहरी पत्ते काटकर उगाएँ।,ಪಾಲಕ್ ಸೊಪ್ಪು ತಂಪಾದ ಹವಾಮಾನ ಮತ್ತು ನಿಯಮಿತ ತೇವಾಂಶವನ್ನು ಬಯಸುತ್ತದೆ; ನಿರಂತರ ಪುನಃ ಬೆಳೆಯಲು ಹೊರಗಿನ ಎಲೆಗಳನ್ನು ಕೊಯ್ಲು ಮಾಡಿ ಮತ್ತು ಆರೋಗ್ಯಕರ ಸೊಪ್ಪಿಗೆ ಗೊಬ್ಬರವನ್ನು ಬಳಸಿ.,"തണുത്ത കാലാവസ്ഥയും പതിവ് ഈർപ്പവും ചീര ഇഷ്ടപ്പെടുന്നു; തുടർച്ചയായി വളരാൻ അനുവദിക്കുന്നതിന് പുറം ഇലകൾ വിളവെടുക്കുക, ആരോഗ്യകരമായ പച്ചിലകൾക്ക് കമ്പോസ്റ്റ് ഉപയോഗിക്കുക.",పాలకూర చల్లని వాతావరణం మరియు సాధారణ తేమను ఇష్టపడుతుంది; నిరంతరం తిరిగి పెరగడానికి బయటి ఆకులను కోయండి మరియు ఆరోగ్యకరమైన ఆకుకూరల కోసం కంపోస్ట్ ఉపయోగించండి.
"cabbage care,cabbage planting,cabbage pests",Cabbage grows in cool climates; maintain soil fertility and control cabbage pests such as caterpillars with biological controls.,கேபேஜ் குளிர் பருவங்களில் வளர்க்கவும்; பூச்சிகளை கட்டுப்படுத்த உயிரியல் முறைகள் பயன்படுத்தவும்.,पत्ता गोभी ठंडे मौसम में बढ़ती है; कीड़ों से जैविक नियंत्रण रखें।,ಎಲೆಕೋಸು ತಂಪಾದ ವಾತಾವರಣದಲ್ಲಿ ಬೆಳೆಯುತ್ತದೆ; ಮಣ್ಣಿನ ಫಲವತ್ತತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳುತ್ತದೆ ಮತ್ತು ಜೈವಿಕ ನಿಯಂತ್ರಣಗಳೊಂದಿಗೆ ಮರಿಹುಳುಗಳಂತಹ ಎಲೆಕೋಸು ಕೀಟಗಳನ್ನು ನಿಯಂತ್ರಿಸುತ್ತದೆ.,തണുത്ത കാലാവസ്ഥയിലാണ് കാബേജ് വളരുന്നത്; ജൈവിക നിയന്ത്രണങ്ങൾ ഉപയോഗിച്ച് മണ്ണിന്റെ ഫലഭൂയിഷ്ഠത നിലനിർത്തുകയും കാറ്റർപില്ലറുകൾ പോലുള്ള കാബേജ് കീടങ്ങളെ നിയന്ത്രിക്കുകയും ചെയ്യുന്നു.,క్యాబేజీ చల్లని వాతావరణంలో పెరుగుతుంది; జీవ నియంత్రణలతో నేల సారాన్ని కాపాడుతుంది మరియు గొంగళి పురుగుల వంటి క్యాబేజీ తెగుళ్లను నియంత్రిస్తుంది.
"lettuce care,lettuce planting,lettuce pests",Lettuce prefers cool and shaded conditions; use frequent watering and light fertilization for crisp heads.,லெட்டுஸ் குளிர் மற்றும் நிழலான சூழலில் நன்கு வளரும்; அடிக்கடி நீர் மற்றும் சிறிய உரம் பயன்படுத்தவும்.,लेट्यूस ठंडे और आंशिक छाया वाले स्थानों में अच्छा उगता है; नियमित पानी दें।,ಲೆಟ್ಯೂಸ್ ತಂಪಾದ ಮತ್ತು ನೆರಳಿನ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಬಯಸುತ್ತದೆ; ಗರಿಗರಿಯಾದ ತೆನೆಗಳಿಗೆ ಆಗಾಗ್ಗೆ ನೀರುಹಾಕುವುದು ಮತ್ತು ಲಘು ಗೊಬ್ಬರವನ್ನು ಬಳಸಿ.,ലെറ്റൂസിന് തണുത്തതും തണലുള്ളതുമായ സാഹചര്യങ്ങളാണ് ഇഷ്ടം; നല്ല തണലുള്ള തൈകൾക്ക് ഇടയ്ക്കിടെ നനയ്ക്കലും നേരിയ വളപ്രയോഗവും നടത്തുക.,లెట్యూస్ చల్లని మరియు నీడ ఉన్న పరిస్థితులను ఇష్టపడుతుంది; స్ఫుటమైన మొగ్గల కోసం తరచుగా నీరు త్రాగుట మరియు తేలికపాటి ఎరువులు వేయండి.
"cucumber care,cucumber planting,cucumber pests",Cucumber likes warm weather and trellising; provide consistent moisture and protect from powdery mildew.,வெள்ளரிக்காய் வெப்பத்தை விரும்பும்; மிதமான ஈரப்பதம் மற்றும் பூஞ்சை நோய்களை கவனிக்கவும்.,खीरा गर्म मौसम और ट्रीलिसिंग पसंद करता है; नियमित नमी रखें।,ಸೌತೆಕಾಯಿ ಬೆಚ್ಚಗಿನ ಹವಾಮಾನ ಮತ್ತು ಟ್ರೆಲ್ಲಿಸಿಂಗ್ ಅನ್ನು ಇಷ್ಟಪಡುತ್ತದೆ; ಸ್ಥಿರವಾದ ತೇವಾಂಶವನ್ನು ಒದಗಿಸುತ್ತದೆ ಮತ್ತು ಸೂಕ್ಷ್ಮ ಶಿಲೀಂಧ್ರದಿಂದ ರಕ್ಷಿಸುತ್ತದೆ.,വെള്ളരിക്ക ചൂടുള്ള കാലാവസ്ഥയും ട്രെല്ലിസിംഗും ഇഷ്ടപ്പെടുന്നു; സ്ഥിരമായ ഈർപ്പം നൽകുകയും പൗഡറി മിൽഡ്യൂവിൽ നിന്ന് സംരക്ഷിക്കുകയും ചെയ്യുന്നു.,దోసకాయ వెచ్చని వాతావరణం మరియు ట్రేల్లిసింగ్‌ను ఇష్టపడుతుంది; స్థిరమైన తేమను అందిస్తుంది మరియు బూజు తెగులు నుండి రక్షిస్తుంది.
"bottle gourd care,bottle gourd planting,bottle gourd pests",Bottle gourd requires trellis support and regular watering; harvest fruits young for best taste.,சர்க்கரை குலுக்கை போன்ற காய்கறிகள் துரித வளர்ச்சிக்காக துருவைப் பொருத்தும்; இனிமையான தண்டு வாழைப்பழங்களை சிறிய நிலையில் அறுவடை செய்யவும்.,लौकी को सहारे और नियमित पानी की आवश्यकता होती है; फल छोटे अवस्था में काटें।,ಬಾಟಲ್ ಸೋರೆಕಾಯಿಗೆ ಟ್ರೆಲ್ಲಿಸ್ ಬೆಂಬಲ ಮತ್ತು ನಿಯಮಿತವಾಗಿ ನೀರುಹಾಕುವುದು ಅಗತ್ಯವಾಗಿರುತ್ತದೆ; ಉತ್ತಮ ರುಚಿಗಾಗಿ ಚಿಕ್ಕ ಹಣ್ಣುಗಳನ್ನು ಕೊಯ್ಲು ಮಾಡಿ.,കുപ്പിവെള്ളത്തിന് ട്രെല്ലിസ് സപ്പോർട്ടും പതിവായി നനയ്ക്കലും ആവശ്യമാണ്; മികച്ച രുചിക്കായി ഇളം പഴങ്ങൾ വിളവെടുക്കുക.,సొరకాయకు ట్రేల్లిస్ మద్దతు మరియు క్రమం తప్పకుండా నీరు త్రాగుట అవసరం; ఉత్తమ రుచి కోసం చిన్న పండ్లను కోయండి.
"beetroot care,beetroot planting,beetroot pests",Beetroot prefers deep loose soil and consistent moisture; thin seedlings and harvest when roots reach market size.,"பீட்ரூட் ஆழமான, தளர்ந்த மண்ணையும் சமமாக ஈரப்பதத்தையும் விரும்பும்; விதைகளைக் குறைக்கவும்.",चुकंदर गहरी ढीली मिट्टी और नियमित नमी पसंद करता है; पौधों को समय पर छांटें।,ಬೀಟ್ರೂಟ್ ಆಳವಾದ ಸಡಿಲವಾದ ಮಣ್ಣು ಮತ್ತು ಸ್ಥಿರವಾದ ತೇವಾಂಶವನ್ನು ಬಯಸುತ್ತದೆ; ಸಸಿಗಳು ತೆಳುವಾಗುತ್ತವೆ ಮತ್ತು ಬೇರುಗಳು ಮಾರುಕಟ್ಟೆಯ ಗಾತ್ರವನ್ನು ತಲುಪಿದಾಗ ಕೊಯ್ಲು ಮಾಡಲಾಗುತ್ತದೆ.,"ആഴത്തിലുള്ള അയഞ്ഞ മണ്ണും സ്ഥിരമായ ഈർപ്പവുമാണ് ബീറ്റ്റൂട്ടിന് ഇഷ്ടം; തൈകൾ നേർത്തതായിരിക്കും, വേരുകൾ വിപണി വലുപ്പത്തിൽ എത്തുമ്പോൾ വിളവെടുക്കും.",బీట్‌రూట్ లోతైన వదులుగా ఉన్న నేల మరియు స్థిరమైన తేమను ఇష్టపడుతుంది; మొలకల సన్నగా ఉంటాయి మరియు వేర్లు మార్కెట్ పరిమాణానికి చేరుకున్నప్పుడు కోతకు వస్తాయి.
"guava care,guava pests,guava planting",Guava grows in a wide range of soils; prune to maintain tree shape and harvest fruits at full color for best flavor.,கோவா பல்வேறு மண்ண்களில் வளரும்; மரத்தை வடிவமைக்கக் கிழித்தல் செய்யவும்.,अमरूद विभिन्न मिट्टियों में उगता है; आकार बनाए रखने के लिए छंटाई करें।,ಪೇರಲವು ವಿವಿಧ ರೀತಿಯ ಮಣ್ಣಿನಲ್ಲಿ ಬೆಳೆಯುತ್ತದೆ; ಮರದ ಆಕಾರವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು ಕತ್ತರಿಸು ಮತ್ತು ಉತ್ತಮ ಪರಿಮಳಕ್ಕಾಗಿ ಪೂರ್ಣ ಬಣ್ಣದಲ್ಲಿ ಹಣ್ಣುಗಳನ್ನು ಕೊಯ್ಲು ಮಾಡಿ.,പേരയ്ക്ക പലതരം മണ്ണിൽ വളരുന്നു; മരത്തിന്റെ ആകൃതി നിലനിർത്താൻ കൊമ്പുകോതുകയും മികച്ച രുചിക്കായി പൂർണ്ണ നിറത്തിൽ പഴങ്ങൾ വിളവെടുക്കുകയും ചെയ്യുന്നു.,జామకాయను వివిధ రకాల నేలల్లో పండిస్తారు; చెట్టు ఆకారాన్ని నిర్వహించడానికి మరియు ఉత్తమ రుచి కోసం పూర్తి రంగులో పండ్లను కోయడానికి కత్తిరించండి.
"papaya care,papaya pests,papaya planting",Papaya needs well-drained soil and regular watering; protect from strong winds and use staking for tall varieties.,பப்பாளி நல்ல வடிகால் பட்ஊர்மணிக்கு மற்றும் முறையான நீர் தேவை.,पपाया को अच्छी जलनिकासी और नियमित पानी चाहिए; तेज हवा से बचाएँ।,ಪಪ್ಪಾಯಿಗೆ ಚೆನ್ನಾಗಿ ನೀರು ಬಸಿದು ಹೋಗುವ ಮಣ್ಣು ಮತ್ತು ನಿಯಮಿತವಾಗಿ ನೀರುಹಾಕುವುದು ಅಗತ್ಯವಾಗಿರುತ್ತದೆ; ಬಲವಾದ ಗಾಳಿಯಿಂದ ರಕ್ಷಿಸಿ ಮತ್ತು ಎತ್ತರದ ಪ್ರಭೇದಗಳಿಗೆ ಸ್ಟೇಕಿಂಗ್ ಬಳಸಿ.,പപ്പായയ്ക്ക് നല്ല നീർവാർച്ചയുള്ള മണ്ണും പതിവായി നനയ്ക്കലും ആവശ്യമാണ്; ശക്തമായ കാറ്റിൽ നിന്ന് സംരക്ഷിക്കുകയും ഉയരമുള്ള ഇനങ്ങൾക്ക് സ്റ്റാക്കിംഗ് ഉപയോഗിക്കുകയും വേണം.,బొప్పాయికి బాగా నీరు కారే నేల మరియు క్రమం తప్పకుండా నీరు త్రాగుట అవసరం; బలమైన గాలుల నుండి రక్షించండి మరియు పొడవైన రకాలకు స్టాకింగ్ ఉపయోగించండి.
"pomegranate care,pomegranate pests,pomegranate planting",Pomegranate thrives in semi-arid climates; light pruning and moderate irrigation during fruiting give good yields.,மாதுளை அரை வறண்ட பகுதிகளில் சிறந்தது; சிறிய வெட்டுதல் மற்றும் மிதமான பாசனம் பயனாகும்.,अनार अर्ध-शुष्क जलवायु में अच्छा होता है; हल्की छंटाई और मध्यम सिंचाई करें।,ದಾಳಿಂಬೆ ಅರೆ-ಶುಷ್ಕ ಹವಾಮಾನದಲ್ಲಿ ಚೆನ್ನಾಗಿ ಬೆಳೆಯುತ್ತದೆ; ಕಾಯಿ ಬಿಡುವ ಸಮಯದಲ್ಲಿ ಲಘು ಸಮರುವಿಕೆ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ ಉತ್ತಮ ಇಳುವರಿಯನ್ನು ನೀಡುತ್ತದೆ.,അർദ്ധ വരണ്ട കാലാവസ്ഥയിലാണ് മാതളനാരങ്ങ നന്നായി വളരുന്നത്; കായ്ക്കുന്ന സമയത്ത് നേരിയ കൊമ്പുകോതലും മിതമായ ജലസേചനവും നല്ല വിളവ് നൽകുന്നു.,దానిమ్మపండు పాక్షిక శుష్క వాతావరణంలో బాగా పెరుగుతుంది; పండ్లు కోసే సమయంలో తేలికపాటి కత్తిరింపు మరియు మితమైన నీటిపారుదల మంచి దిగుబడిని ఇస్తాయి.
"grapes care,grapes pests,grapes planting","Grapes require trellis systems, regular pruning and good sunlight; monitor for fungal diseases in humid areas.","திராட்சை மண்டபம் தேவை, வழக்கமான வெட்டுதல் மற்றும் நல்ல சூரிய ஒளி தேவை.",अंगूरों को ट्रीलिसिंग और नियमित छंटाई की जरूरत होती है; आद्रता में फफूंदी का ध्यान रखें।,"ದ್ರಾಕ್ಷಿಗೆ ಟ್ರೆಲ್ಲಿಸ್ ವ್ಯವಸ್ಥೆಗಳು, ನಿಯಮಿತ ಸಮರುವಿಕೆ ಮತ್ತು ಉತ್ತಮ ಸೂರ್ಯನ ಬೆಳಕು ಬೇಕಾಗುತ್ತದೆ; ಆರ್ದ್ರ ಪ್ರದೇಶಗಳಲ್ಲಿ ಶಿಲೀಂಧ್ರ ರೋಗಗಳ ಬಗ್ಗೆ ನಿಗಾ ಇರಿಸಿ.","മുന്തിരിക്ക് ട്രെല്ലിസ് സംവിധാനങ്ങൾ, പതിവ് കൊമ്പുകോതൽ, നല്ല സൂര്യപ്രകാശം എന്നിവ ആവശ്യമാണ്; ഈർപ്പമുള്ള പ്രദേശങ്ങളിൽ ഫംഗസ് രോഗങ്ങൾക്കായി നിരീക്ഷിക്കുക.","ద్రాక్షకు ట్రేల్లిస్ వ్యవస్థలు, క్రమం తప్పకుండా కత్తిరింపు మరియు మంచి సూర్యకాంతి అవసరం; తేమతో కూడిన ప్రాంతాల్లో శిలీంధ్ర వ్యాధుల కోసం పర్యవేక్షించండి."
"apple care,apple pests,apple planting",Apple prefers temperate climates and chilling hours; select suitable cultivars and manage pests and blossom thinning for quality fruit.,ஆப்பிள் குளிர் பருவத்தில் சிறந்தது; சரியான வகைகளை தேர்ந்தெடுத்து பூச்சிகளை கட்டுப்படுத்து.,सेब समशीतोष्ण जलवायु में अच्छा होता है; उपयुक्त किस्म चुनें और फूलों की छंटाई करें।,ಆಪಲ್ ಸಮಶೀತೋಷ್ಣ ಹವಾಮಾನ ಮತ್ತು ತಂಪಾಗಿಸುವ ಸಮಯವನ್ನು ಬಯಸುತ್ತದೆ; ಸೂಕ್ತವಾದ ತಳಿಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ ಮತ್ತು ಗುಣಮಟ್ಟದ ಹಣ್ಣುಗಳಿಗಾಗಿ ಕೀಟಗಳು ಮತ್ತು ಹೂವು ತೆಳುವಾಗುವುದನ್ನು ನಿರ್ವಹಿಸಿ.,മിതശീതോഷ്ണ കാലാവസ്ഥയും തണുപ്പുള്ള സമയങ്ങളുമാണ് ആപ്പിളിന് ഇഷ്ടം; ഗുണനിലവാരമുള്ള പഴങ്ങൾക്കായി അനുയോജ്യമായ ഇനങ്ങൾ തിരഞ്ഞെടുത്ത് കീടങ്ങളെയും പൂക്കളുടെ കനം കുറയലിനെയും നിയന്ത്രിക്കുക.,ఆపిల్ సమశీతోష్ణ వాతావరణాలు మరియు చల్లని సమయాలను ఇష్టపడుతుంది; నాణ్యమైన పండ్ల కోసం తగిన సాగులను ఎంచుకోండి మరియు తెగుళ్ళు మరియు పువ్వులు పల్చబడకుండా చూసుకోండి.
"teak care,teak planting,teak pests",Teak requires well-drained soils and protection in early years; manage spacing for timber quality and control weeds regularly.,தீக் மரத்திற்கு நல்ல வடிகால் மண் மற்றும் ஆரம்ப ஆண்டு பாதுகாப்பு அவசியம்.,टीक को अच्छी जलनिकासी और शुरुआती वर्षों में सुरक्षा चाहिए; अंतराल बनाए रखें.,ತೇಗಕ್ಕೆ ಆರಂಭಿಕ ವರ್ಷಗಳಲ್ಲಿ ಚೆನ್ನಾಗಿ ನೀರು ಬಸಿದು ಹೋಗುವ ಮಣ್ಣು ಮತ್ತು ರಕ್ಷಣೆ ಬೇಕಾಗುತ್ತದೆ; ಮರದ ಗುಣಮಟ್ಟಕ್ಕಾಗಿ ಅಂತರವನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ನಿಯಮಿತವಾಗಿ ಕಳೆಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ.,തേക്കിന് ആദ്യകാലങ്ങളിൽ നല്ല നീർവാർച്ചയുള്ള മണ്ണും സംരക്ഷണവും ആവശ്യമാണ്; തടിയുടെ ഗുണനിലവാരത്തിനായി അകലം പാലിക്കുകയും പതിവായി കളകളെ നിയന്ത്രിക്കുകയും ചെയ്യുക.,టేకు చెట్లకు తొలినాళ్లలో బాగా నీరు పారుదల ఉన్న నేలలు మరియు రక్షణ అవసరం; కలప నాణ్యత కోసం అంతరాన్ని నిర్వహించండి మరియు కలుపు మొక్కలను క్రమం తప్పకుండా నియంత్రించండి.
"eucalyptus care,eucalyptus planting,eucalyptus pests",Eucalyptus grows fast in a range of soils; manage harvest cycles and watch for excessive water uptake in shallow soils.,ஈucalyptus வேகமாக வளர்ந்து பல்வேறு மண் வகைகளில் வளரும்; அறுவடை காலங்களை சீராக்கவும்.,यूकेलिप्टस तेजी से बढ़ता है; जमीनी पानी पर ध्यान दें।,ನೀಲಗಿರಿ ವಿವಿಧ ಮಣ್ಣಿನಲ್ಲಿ ವೇಗವಾಗಿ ಬೆಳೆಯುತ್ತದೆ; ಕೊಯ್ಲು ಚಕ್ರಗಳನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ಆಳವಿಲ್ಲದ ಮಣ್ಣಿನಲ್ಲಿ ಅತಿಯಾದ ನೀರಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆಯನ್ನು ಗಮನಿಸಿ.,വിവിധതരം മണ്ണിൽ യൂക്കാലിപ്റ്റസ് വേഗത്തിൽ വളരുന്നു; വിളവെടുപ്പ് ചക്രങ്ങൾ നിയന്ത്രിക്കുകയും ആഴം കുറഞ്ഞ മണ്ണിൽ അമിതമായ ജല ഉപഭോഗം നിരീക്ഷിക്കുകയും ചെയ്യുക.,యూకలిప్టస్ వివిధ రకాల నేలల్లో వేగంగా పెరుగుతుంది; పంట చక్రాలను నిర్వహించండి మరియు నిస్సార నేలల్లో అధిక నీటి శోషణను గమనించండి.
"neem care,neem planting,neem pests",Neem is drought tolerant and useful for integrated pest management; use leaves and cake as organic inputs.,நீம் வறட்சிக்குத் தகுதியானது மற்றும் பூச்சி மேலாண்மையில் பயனுள்ளது.,नीम सूखे सहनशील है और कीट नियंत्रण में उपयोगी है।,ಬೇವು ಬರ ಸಹಿಷ್ಣುವಾಗಿದ್ದು ಸಮಗ್ರ ಕೀಟ ನಿರ್ವಹಣೆಗೆ ಉಪಯುಕ್ತವಾಗಿದೆ; ಎಲೆಗಳು ಮತ್ತು ಕೇಕ್ ಅನ್ನು ಸಾವಯವ ಒಳಹರಿವುಗಳಾಗಿ ಬಳಸಿ.,"വേപ്പ് വരൾച്ചയെ ചെറുക്കുന്ന സസ്യമാണ്, സംയോജിത കീട നിയന്ത്രണത്തിന് ഉപയോഗപ്രദമാണ്; ഇലകളും പിണ്ണാക്കും ജൈവ വളമായി ഉപയോഗിക്കുക.",వేప కరువును తట్టుకుంటుంది మరియు సమగ్ర తెగులు నిర్వహణకు ఉపయోగపడుతుంది; ఆకులు మరియు కేకులను సేంద్రీయ ఇన్‌పుట్‌లుగా ఉపయోగించండి.
"moringa care,moringa planting,moringa pests",Moringa grows quickly in dry areas and is nutrient-rich; prune regularly and harvest leaves for nutrition.,முருங்கை உலர் பகுதிகளில் விரைவாக வளரும் மற்றும் சத்தானது.,सहजन (मोरिंगा) सूखे इलाकों में उगता है और पौष्टिक होता है।,ಒಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಮೊರಿಂಗ ಬೇಗನೆ ಬೆಳೆಯುತ್ತದೆ ಮತ್ತು ಪೋಷಕಾಂಶಗಳಿಂದ ಸಮೃದ್ಧವಾಗಿದೆ; ನಿಯಮಿತವಾಗಿ ಕತ್ತರಿಸು ಮತ್ತು ಪೋಷಣೆಗಾಗಿ ಎಲೆಗಳನ್ನು ಕೊಯ್ಲು ಮಾಡಿ.,"വരണ്ട പ്രദേശങ്ങളിൽ മുരിങ്ങ വേഗത്തിൽ വളരുന്നു, പോഷക സമ്പുഷ്ടവുമാണ്; പോഷകാഹാരത്തിനായി പതിവായി വെട്ടിമാറ്റി ഇലകൾ വിളവെടുക്കുക.","మునగ పొడి ప్రాంతాలలో త్వరగా పెరుగుతుంది మరియు పోషకాలతో సమృద్ధిగా ఉంటుంది; క్రమం తప్పకుండా కత్తిరించి, పోషకాల కోసం ఆకులను కోయండి."
"soil testing,soil testing benefits",Soil testing every 1-2 years helps determine nutrient needs and pH; follow soil-test recommendations for fertilizer application.,ஒவ்வொரு 1-2 ஆண்டிலும் மண் சோதனை மூலம் உர தேவைகள் மற்றும் pH அடையாளம் காணலாம்.,1-2 साल में मिट्टी परीक्षण करें और रिपोर्ट के अनुसार उर्वरक दें.,ಪ್ರತಿ 1-2 ವರ್ಷಗಳಿಗೊಮ್ಮೆ ಮಣ್ಣು ಪರೀಕ್ಷೆ ಮಾಡುವುದರಿಂದ ಪೋಷಕಾಂಶಗಳ ಅಗತ್ಯತೆಗಳು ಮತ್ತು pH ಅನ್ನು ನಿರ್ಧರಿಸಲು ಸಹಾಯವಾಗುತ್ತದೆ; ರಸಗೊಬ್ಬರ ಬಳಕೆಗಾಗಿ ಮಣ್ಣು ಪರೀಕ್ಷೆಯ ಶಿಫಾರಸುಗಳನ್ನು ಅನುಸರಿಸಿ.,ഓരോ 1-2 വർഷത്തിലും മണ്ണ് പരിശോധന നടത്തുന്നത് പോഷകങ്ങളുടെ ആവശ്യകതയും pH ഉം നിർണ്ണയിക്കാൻ സഹായിക്കും; വളപ്രയോഗത്തിനുള്ള മണ്ണ് പരിശോധനാ ശുപാർശകൾ പാലിക്കുക.,ప్రతి 1-2 సంవత్సరాలకు ఒకసారి నేల పరీక్ష చేయడం వల్ల పోషక అవసరాలు మరియు pH నిర్ణయించబడతాయి; ఎరువుల వాడకం కోసం నేల పరీక్ష సిఫార్సులను అనుసరించండి.
"compost,compost benefits","Compost improves soil structure, water holding and provides slow-release nutrients; apply compost before planting or as a top dressing.",கம்போஸ்ட் மண் அமைப்பை மேம்படுத்த உதவும் மற்றும் மெதுவாக ஊட்டச்சத்துகளை வழங்கும்.,खाद मिट्टी की बनावट और पानी धारण क्षमता बढ़ाती है; बोने से पहले डालें.,"ಕಾಂಪೋಸ್ಟ್ ಮಣ್ಣಿನ ರಚನೆಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ, ನೀರನ್ನು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುತ್ತದೆ ಮತ್ತು ನಿಧಾನವಾಗಿ ಬಿಡುಗಡೆ ಮಾಡುವ ಪೋಷಕಾಂಶಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ; ನಾಟಿ ಮಾಡುವ ಮೊದಲು ಅಥವಾ ಮೇಲ್ಭಾಗದ ಡ್ರೆಸ್ಸಿಂಗ್ ಆಗಿ ಕಾಂಪೋಸ್ಟ್ ಅನ್ನು ಅನ್ವಯಿಸಿ.","കമ്പോസ്റ്റ് മണ്ണിന്റെ ഘടന മെച്ചപ്പെടുത്തുകയും, വെള്ളം പിടിച്ചുനിർത്തുകയും, സാവധാനത്തിൽ പോഷകങ്ങൾ പുറത്തുവിടുകയും ചെയ്യുന്നു; നടുന്നതിന് മുമ്പ് അല്ലെങ്കിൽ ഒരു മേലാപ്പായി കമ്പോസ്റ്റ് പ്രയോഗിക്കുക.","కంపోస్ట్ నేల నిర్మాణాన్ని మెరుగుపరుస్తుంది, నీటిని నిలుపుకుంటుంది మరియు నెమ్మదిగా విడుదల చేసే పోషకాలను అందిస్తుంది; నాటడానికి ముందు లేదా టాప్ డ్రెస్సింగ్‌గా కంపోస్ట్ వేయండి."
"drip irrigation,drip irrigation benefits",Drip irrigation saves water and improves yield by supplying moisture at root zone; ideal for vegetables and orchards.,டிரிப் பாசனம் நீரை மிச்சப்படுத்தும் மற்றும் வேர்வளத்தில் நீர் அளிக்கும்.,ड्रिप सिंचाई पानी बचाती है और जड़ों तक सीधे पानी देती है।,ಹನಿ ನೀರಾವರಿಯು ನೀರನ್ನು ಉಳಿಸುತ್ತದೆ ಮತ್ತು ಬೇರು ವಲಯದಲ್ಲಿ ತೇವಾಂಶವನ್ನು ಪೂರೈಸುವ ಮೂಲಕ ಇಳುವರಿಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ; ತರಕಾರಿಗಳು ಮತ್ತು ತೋಟಗಳಿಗೆ ಸೂಕ್ತವಾಗಿದೆ.,ഡ്രിപ്പ് ഇറിഗേഷൻ വെള്ളം ലാഭിക്കുകയും വേരിന്റെ മേഖലയിൽ ഈർപ്പം നൽകുന്നതിലൂടെ വിളവ് മെച്ചപ്പെടുത്തുകയും ചെയ്യുന്നു; പച്ചക്കറികൾക്കും തോട്ടങ്ങൾക്കും അനുയോജ്യം.,బిందు సేద్యం నీటిని ఆదా చేస్తుంది మరియు వేర్ల మండలంలో తేమను సరఫరా చేయడం ద్వారా దిగుబడిని మెరుగుపరుస్తుంది; కూరగాయలు మరియు పండ్ల తోటలకు అనువైనది.
"green manure,green manure benefits","Green manures (sesbania, sunn hemp) add organic matter and nitrogen; incorporate before sowing main crop.",பசுமை உரங்கள் நுண்ணுயிர் மற்றும் நைட்ரஜன் கொடுக்கும்; முதலில் சேர்க்கவும்.,हरी खादें जैसे सैसबानिया और सन हेम्प जैविक पदार्थ जोड़ती हैं; मुख्य फसल से पहले मिलाएँ।,"ಹಸಿರು ಗೊಬ್ಬರಗಳು (ಸೆಸ್ಬೇನಿಯಾ, ಸುನ್ ಸೆಣಬಿನ) ಸಾವಯವ ಪದಾರ್ಥ ಮತ್ತು ಸಾರಜನಕವನ್ನು ಸೇರಿಸುತ್ತವೆ; ಮುಖ್ಯ ಬೆಳೆಯನ್ನು ಬಿತ್ತನೆ ಮಾಡುವ ಮೊದಲು ಸೇರಿಸಿ.","പച്ചിലവളങ്ങൾ (സെസ്ബാനിയ, സൺ ഹെംപ്) ജൈവവസ്തുക്കളും നൈട്രജനും ചേർക്കുന്നു; പ്രധാന വിള വിതയ്ക്കുന്നതിന് മുമ്പ് ചേർക്കുന്നു.","పచ్చిరొట్ట ఎరువులు (సెస్‌బేనియా, సన్‌హెంప్) సేంద్రియ పదార్థం మరియు నత్రజనిని కలుపుతాయి; ప్రధాన పంటను విత్తే ముందు కలుపుకోవాలి."
